category,channel,country,currency,customer_email,customer_id,fx_reference_date,order_id,order_ts,product_name,qty,sku,status,unit_price,reject_reason
ORD10003,1329,customer1329@example.com,2026-02-20T18:57:55,completed,mobile_app,SKU-BK-002,The Pragmatic Programmer,Books,2,42.42,EUR,RO,2026-08-26,duplicate row
ORD10058,364,customer364@example.com,2026-04-03T03:42:49,completed,web,SKU-HK-001,Stainless Steel Kettle,Home & Kitchen,1,44.35,EUR,RO,2026-09-03,duplicate row
ORD10131,1683,customer1683@example.com,2026-05-24T08:54:43,completed,web,SKU-FA-003,Running Shoes Pro,Fashion,2,87.63,RON,RO,2026-08-31,duplicate row
ORD10136,90,customer90@example.com,2026-06-27T03:24:21,completed,web,SKU-EL-002,USB-C Fast Charger 65W,Electronics,1,36.09,RON,RO,2026-08-27,duplicate row
ORD10182,1451,customer1451@example.com,10/05/2026 09:26,completed,web,SKU-FA-001,Men's Slim Fit Jeans,Fashion,1,59.62,EUR,RO,2026-08-25,duplicate row
ORD10257,1368,customer1368@example.com,1778832765,completed,marketplace,SKU-BE-001,Vitamin C Serum 30ml,Beauty,1,24.58,EUR,BG,2026-08-24,duplicate row
ORD10306,1570,customer1570@example.com,2026-02-26T07:47:58,completed,web,SKU-EL-004,4K Action Camera,Electronics,1,187.5,EUR,RO,2026-08-24,duplicate row
ORD10421,368,customer368@example.com,2026-05-13T11:56:01,completed,web,SKU-EL-004,4K Action Camera,Electronics,1,185.39,EUR,RO,2026-08-30,duplicate row
ORD10426,1338,customer1338@example.com,16/01/2026 09:29,completed,mobile_app,SKU-BK-002,The Pragmatic Programmer,Books,1,45.51,EUR,RO,2026-08-24,duplicate row
ORD10444,1784,customer1784@example.com,19/05/2026 03:22,completed,web,SKU-BK-002,The Pragmatic Programmer,Books,1,43.09,EUR,DE,2026-08-23,duplicate row
ORD10448,1038,customer1038@example.com,2026-05-21T16:30:00,completed,web,SKU-BE-002,Hair Dryer Ionic 2200W,Beauty,1,61.23,EUR,DE,2026-09-02,duplicate row
ORD10495,171,customer171@example.com,28/06/2026 09:48,completed,web,SKU-HK-001,Stainless Steel Kettle,Home & Kitchen,1,38.43,RON,DE,2026-08-28,duplicate row
ORD10526,1618,customer1618@example.com,2026-04-24T00:52:41,completed,marketplace,SKU-HK-001,Stainless Steel Kettle,Home & Kitchen,2,37.89,RON,RO,2026-09-03,duplicate row
ORD10593,1751,customer1751@example.com,1768514771,completed,marketplace,SKU-BE-001,Vitamin C Serum 30ml,Beauty,3,22.97,EUR,DE,2026-08-25,duplicate row
