category,channel,country,currency,customer_email,customer_id,fx_reference_date,order_id,order_ts,product_name,qty,sku,status,unit_price,copy_number
Fashion,web,BG,EUR,customer1854@example.com,1854,2026-08-28, ORD10210,13/06/2026 09:32,Women's Wool Coat,1,SKU-FA-002,completed,149.03,1
Fashion,web,RO,EUR,customer1225@example.com,1225,2026-08-23, ORD10277,28/03/2026 03:54,Women's Wool Coat,1,SKU-FA-002,completed,137.7,1
Beauty,web,RO,EUR,customer184@example.com,184,2026-08-26, ORD10338,1777564733,Vitamin C Serum 30ml,1,SKU-BE-001,completed,23.11,1
Home & Kitchen,mobile_app,BG,EUR,customer1785@example.com,1785,2026-08-23, ORD10876,09/06/2026 14:55,Air Fryer 5L,1,SKU-HK-003,completed,122.58,1
Fashion,mobile_app,HU,EUR,customer477@example.com,477,2026-08-31, ORD11494,2026-04-08T21:46:40,Men's Slim Fit Jeans,1,SKU-FA-001,completed,53.82,1
Beauty,marketplace,RO,EUR,customer1434@example.com,1434,2026-08-30, ORD11500,1767729132,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,71.13,1
Fashion,web,RO,EUR,customer71@example.com,71,2026-08-26, ORD11974,2026-01-08T09:39:39,Women's Wool Coat,1,SKU-FA-002,completed,132.8,1
Electronics,web,RO,EUR,customer940@example.com,940,2026-08-30, ORD11982,16/01/2026 01:50,4K Action Camera,1,SKU-EL-004,completed,172.27,1
Fashion,marketplace,RO,EUR,customer1726@example.com,1726,2026-08-30, ORD12154,1781874040,Men's Slim Fit Jeans,2,SKU-FA-001,completed,57.11,1
Electronics,marketplace,RO,EUR,customer764@example.com,764,2026-08-28, ORD13214,06/04/2026 13:51,Wireless Earbuds X2,1,SKU-EL-001,completed,84,1
Home & Kitchen,web,RO,RON,customer86@example.com,86,2026-08-31, ORD13326,2026-03-08T07:38:25,Non-stick Frying Pan 28cm,2,SKU-HK-002,completed,30.6,1
Electronics,mobile_app,BG,RON,customer510@example.com,510,2026-08-31, ORD13654,2026-01-24T17:19:06,Bluetooth Speaker Mini,1,SKU-EL-003,completed,48.82,1
Electronics,mobile_app,HU,EUR,customer650@example.com,650,2026-08-26, ORD13977,2026-06-06T15:49:39,4K Action Camera,1,SKU-EL-004,completed,192.9,1
