category,channel,country,currency,customer_email,customer_id,fx_reference_date,order_id,order_ts,product_name,qty,sku,status,unit_price
Beauty,mobile_app,HU,EUR,customer534@example.com,534,2026-09-03,ORD13353,2026-02-18T22:05:39,Vitamin C Serum 30ml,1,SKU-BE-001,completed,26.14
Electronics,web,BG,EUR,customer506@example.com,506,2026-08-31,ORD12295,2026-02-22T01:21:59,USB-C Fast Charger 65W,1,SKU-EL-002,completed,36
Beauty,web,BG,EUR,customer506@example.com,506,2026-08-31,ORD12295,2026-02-22T01:21:59,Hair Dryer Ionic 2200W,1,SKU-BE-002,completed,66.13
Home & Kitchen,web,RO,EUR,customer823@example.com,823,2026-08-24,ORD12387,20/04/2026 13:01,Air Fryer 5L,1,SKU-HK-003,completed,124.37
Fashion,web,RO,EUR,customer823@example.com,823,2026-08-24,ORD12387,20/04/2026 13:01,Women's Wool Coat,1,SKU-FA-002,completed,145.05
Electronics,web,HU,EUR,customer997@example.com,997,2026-08-27,ORD13493,03/03/2026 18:27,USB-C Fast Charger 65W,-1,SKU-EL-002,completed,32.53
Home & Kitchen,web,HU,EUR,customer997@example.com,997,2026-08-27,ORD13493,03/03/2026 18:27,Stainless Steel Kettle,3,SKU-HK-001,completed,41.5
Electronics,marketplace,BG,EUR,customer555@example.com,555,2026-08-27,ORD10851,2026-05-30T21:16:56,USB-C Fast Charger 65W,1,SKU-EL-002,completed,34.1
Electronics,mobile_app,RO,EUR,customer466@example.com,466,2026-08-26,ORD15925,2026-01-29T08:25:37,Wireless Earbuds X2,1,SKU-EL-001,completed,84.7
Fashion,web,HU,EUR,customer1342@example.com,1342,2026-08-24,ORD11444,1768658231,Women's Wool Coat,1,SKU-FA-002,completed,147.79
Home & Kitchen,web,HU,EUR,customer1342@example.com,1342,2026-08-24,ORD11444,1768658231,Non-stick Frying Pan 28cm,1,SKU-HK-002,completed,30.09
Fashion,mobile_app,DE,RON,customer1088@example.com,1088,2026-08-27,ord14263,2026-01-04T23:49:15,Women's Wool Coat,3,SKU-FA-002,completed,150.77
Electronics,web,RO,EUR,customer462@example.com,462,2026-08-27,ORD14935,1777840015,Wireless Earbuds X2,1,SKU-EL-001,completed,85.73
Beauty,mobile_app,RO,EUR,customer1953@example.com,1953,2026-08-28,ORD15948,2026-04-05T20:56:27,Vitamin C Serum 30ml,3,SKU-BE-001,completed,22.5
Electronics,mobile_app,RO,EUR,customer1953@example.com,1953,2026-08-28,ORD15948,2026-04-05T20:56:27,Bluetooth Speaker Mini,1,SKU-EL-003,completed,44.87
Sports,web,RO,EUR,customer672@example.com,672,2026-08-24,ORD15941,2026-03-15T02:31:36,Adjustable Dumbbell Set,-1,SKU-SP-002,completed,182.18
Beauty,web,RO,EUR,customer672@example.com,672,2026-08-24,ORD15941,2026-03-15T02:31:36,Hair Dryer Ionic 2200W,2,SKU-BE-002,completed,66.34
Electronics,web,RO,EUR,customer1342@example.com,1342,2026-09-01,ORD14336,23/06/2026 15:06,USB-C Fast Charger 65W,1,SKU-EL-002,completed,37.27
